# animal	    cont_group          ci  cd
SIMUSAF000002361310 002360_2009_F_FALSE 257 20
SIMUSAF000002404467 058836_2009_F_FALSE 304 47
SIMUSAF000002393106 237757_2009_F_FALSE 310 86
SIMUSAF000002337504 029023_2009_F_FALSE 284 8
SIMUSAF000002406697 022454_2009_F_FALSE 317 65
SIMUSAF000002404610 070192_2009_F_FALSE 333 42
SIMUSAF000002357082 193346_2009_F_FALSE 333 111
SIMUSAF000002436092 171929_2009_F_FALSE 336 56
SIMUSAF000002354291 221034_2009_F_FALSE 337 91
SIMUSAF000002378717 221034_2010_F_FALSE 342 94
